Unnamed: 0,airsigmetid,timevalidfromutc,timevalidtoutc,movementdirdegrees,movementspeedknots,hazardtype,hazardseverity,airsigmettype,altitudeminft,altitudemaxft
0,32927,2013-08-17 14:55:OO+O0,2013/08-17 18:55:0O+00,,,CONVECTIVE,,OUTLOOK,,
1,33194,2013-08-19 19:21:00+00,2013-08-19 22:O0:0O+0O,,,MTN OBSCN,,AIRMET,0.0,0.0
2,33266,2013-08/20 03:45:0O+0O,2013-O8-20 O9:44:59+00,,,MTN OBSCN,,AIRMET,0.0,0.0
3,33295,2013/O8-2O 09:45:O0+0O,2013-O8/20 15:44:59+0O,,,TURB,MOD,AIRMET,0.0,0.0
4,33576,2O13-08-22 15:45:O0+0O,2013/08/22 21:44:59+0O,,,MTN OBSCN,,AIRMET,0.0,0.0
5,33704,2013/08-23 21:46:OO+00,2013-O8-24 O4:00:O0+00,,,MTN OBSCN,,AIRMET,O,O
6,34730,2013-09/01 19:55:OO+OO,2013-09-01 23:55:00+00,,,CONVECTIVE,,OUTLOOK,,
7,35106,2O13/09/05 12:55:0O+00,2013-09/05 16:55:OO+00,,,CONVECTIVE,,OUTLOOK,,
8,35729,2013-09-1O 15:45:O0+0O,2013-09-10 22:00:00+00,,,IFR,,AIRMET,0.0,O
9,35736,2013-09/1O 19:55:00+00,2013-09/10 23:55:00+00,,,CONVECTIVE,,OUTLOOK,,
10,35764,2O13-09-10 15:45:0O+O0,2O13-O9-1O 21:44:59+OO,,,IFR,,AIRMET,0.0,0.0
11,35330,2013-09-O7 06:55:00+00,2013/09-07 1O:55:00+00,,,CONVECTIVE,,OUTLOOK,,
12,35331,2013/O9/07 04:55:00+0O,2O13-09-07 06:55:0O+00,110.0,10.0,CONVECTIVE,LT/MOD,SIGMET,0.0,O
13,35332,2O13-O9/07 05:03:00+00,2O13-09-O7 10:00:0O+O0,,,MTN OBSCN,,AIRMET,O,0.0
14,35333,2013-O9/O7 O5:55:O0+00,2013-09-07 07:55:OO+00,200.0,20.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
15,35410,2013-09-07 21:45:0O+O0,2O13-09-08 04:00:00+0O,,,MTN OBSCN,,AIRMET,0.0,O
16,35334,2013-09/07 07:55:00+0O,2O13-09-07 11:55:00+00,,,CONVECTIVE,,OUTLOOK,,
17,35335,2O13/09-07 06:55:00+00,2013-09/07 08:55:00+00,30.0,10.0,CONVECTIVE,LT/MOD,SIGMET,O,0.0
18,35336,2013/09/O7 08:55:O0+00,2013/09/O7 12:55:00+00,,,CONVECTIVE,,OUTLOOK,,
19,35337,2O13-O9-07 09:55:0O+00,2013-09/07 13:55:00+00,,,CONVECTIVE,,OUTLOOK,,
20,35338,2O13-09-07 06:55:OO+00,2013-09-O7 07:54:59+00,30.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
21,35339,2013-09/O7 08:55:O0+00,2013-09-07 07:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
22,35340,2O13-09-07 07:55:OO+OO,2013-O9/07 09:55:00+OO,180.0,10.0,CONVECTIVE,LT/MOD,SIGMET,O,0.0
23,35341,2013-09-O7 10:55:O0+0O,2O13-O9/07 14:55:00+O0,,,CONVECTIVE,,OUTLOOK,,
24,35411,2013-O9-07 18:43:OO+OO,2O13-09-07 21:44:59+00,,,IFR,,AIRMET,O,0.0
25,35342,2013-O9/07 08:55:OO+O0,2013/09/O7 10:55:O0+O0,200.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
26,35343,2O13-09-O7 O9:45:00+00,2013-09-07 16:O0:00+0O,,,IFR,,AIRMET,O,0.0
27,35344,2013/O9-07 09:45:00+0O,2O13-09/07 16:OO:0O+0O,,,MTN OBSCN,,AIRMET,0.0,0.0
28,35345,2013-09-07 O9:45:00+00,2O13/O9-07 16:O0:00+00,,,ICE,MOD,AIRMET,0.0,0.0
29,35346,2013-O9-07 03:45:00+O0,2O13/09-07 09:44:59+0O,,,ICE,MOD,AIRMET,0.0,O
30,35347,2O13-O9-07 05:O3:OO+00,2013-09-07 09:44:59+00,,,MTN OBSCN,,AIRMET,0.0,0.0
31,35348,2013-09-07 09:45:0O+OO,2013/O9-07 16:00:00+00,,,TURB,,AIRMET,0.0,O
