Airline ID,Airline Code,Flight Number,Departure Airport Code,Arrival Airport code,Air Time,Scheduled Departure,Actual Departure,Scheduled Arrival,Actual Arrival,Delay In Minutes
308249324,WN,528,PHX,CMH,209,23:10:00+00,23:13:00+00,02:39:00+00,02:48:00+00,12
308229101,WN,528,LAX,PHX,64,21:17:00+00,21:23:00+00,22:21:00+00,22:20:00+00,5
308256674,WN,528,SFO,LAX,55,19:15:00+00,19:17:00+00,20:10:00+00,20:12:00+00,4
308228540,WN,531,LAS,TUS,58,17:27:00+00,17:29:00+00,18:25:00+00,18:30:00+00,7
308189497,WN,532,BNA,MDW,69,01:13:00+00,01:07:00+00,02:22:00+00,02:10:00+00,-18
308208815,WN,532,ECP,BNA,63,23:21:00+00,23:20:00+00,00:24:00+00,00:21:00+00,-4
308245798,WN,533,ORF,BWI,37,11:58:00+00,11:57:00+00,12:35:00+00,12:31:00+00,-5
308259717,WN,533,SNA,SMF,65,03:27:00+00,04:19:00+00,04:32:00+00,05:18:00+00,98
308249716,WN,533,PHX,SNA,55,01:54:00+00,02:50:00+00,02:49:00+00,03:45:00+00,112
308260540,WN,533,STL,PHX,162,21:59:00+00,22:56:00+00,00:41:00+00,02:04:00+00,140
308235419,WN,533,MCO,STL,123,19:01:00+00,20:04:00+00,21:04:00+00,22:04:00+00,123
308251941,WN,533,PVD,MCO,147,15:33:00+00,15:43:00+00,18:00:00+00,18:13:00+00,23
308193120,WN,533,BWI,PVD,55,13:54:00+00,14:02:00+00,14:49:00+00,14:56:00+00,15
308247428,WN,534,PDX,SLC,85,00:39:00+00,00:53:00+00,02:04:00+00,02:31:00+00,41
308243547,WN,534,OAK,PDX,74,22:36:00+00,22:54:00+00,23:50:00+00,00:11:00+00,-1401
308229004,WN,534,LAX,OAK,53,21:05:00+00,21:11:00+00,21:58:00+00,22:02:00+00,10
308228438,WN,534,LAS,SAN,46,04:33:00+00,04:46:00+00,05:19:00+00,05:30:00+00,24
308259127,WN,534,SLC,LAS,59,02:48:00+00,03:07:00+00,03:47:00+00,04:06:00+00,38
308265985,WN,535,TUL,HOU,73,22:53:00+00,22:52:00+00,00:06:00+00,00:00:00+00,-7
308218739,WN,535,HOU,MSY,47,00:45:00+00,00:53:00+00,01:32:00+00,01:39:00+00,15
308228537,WN,535,LAS,TUL,142,19:45:00+00,19:49:00+00,22:07:00+00,22:09:00+00,6
308235139,WN,536,MCO,BDL,143,21:52:00+00,22:36:00+00,00:15:00+00,00:58:00+00,87
308187974,WN,536,BHM,MCO,76,20:01:00+00,20:21:00+00,21:17:00+00,21:40:00+00,43
308254645,WN,536,SAT,DAL,42,16:14:00+00,16:14:00+00,16:56:00+00,16:56:00+00,0
308203594,WN,537,DEN,IND,122,00:58:00+00,01:50:00+00,03:00:00+00,03:58:00+00,110
308228675,WN,537,LAX,DEN,113,22:05:00+00,22:44:00+00,23:58:00+00,00:52:00+00,-1347
308239950,WN,537,MSY,HOU,52,16:39:00+00,17:06:00+00,17:31:00+00,18:01:00+00,57
308218716,WN,537,HOU,LAX,169,18:16:00+00,18:40:00+00,21:05:00+00,21:39:00+00,58
308252875,WN,538,RDU,BWI,45,00:13:00+00,00:28:00+00,00:58:00+00,01:17:00+00,34
308249604,WN,538,PHX,RDU,245,19:32:00+00,19:44:00+00,23:37:00+00,23:49:00+00,24
308244299,WN,538,ONT,PHX,55,17:57:00+00,17:57:00+00,18:52:00+00,18:47:00+00,-5
308193109,WN,538,BWI,PIT,37,01:56:00+00,01:57:00+00,02:33:00+00,02:33:00+00,1
308202227,WN,539,DAL,TUL,42,16:44:00+00,16:41:00+00,17:26:00+00,17:24:00+00,-5
308254641,WN,539,SAT,DAL,41,15:15:00+00,15:14:00+00,15:56:00+00,15:59:00+00,2
308192885,WN,540,BWI,BDL,52,16:08:00+00,16:03:00+00,17:00:00+00,16:49:00+00,-16
308203622,WN,543,DEN,LAS,86,15:26:00+00,15:28:00+00,16:52:00+00,16:52:00+00,2
308228350,WN,543,LAS,OAK,68,17:45:00+00,17:50:00+00,18:53:00+00,18:52:00+00,4
308182433,WN,543,AMA,DEN,52,13:36:00+00,13:37:00+00,14:28:00+00,14:33:00+00,6
308202098,WN,543,DAL,AMA,48,12:15:00+00,12:13:00+00,13:03:00+00,13:03:00+00,-2
308203863,WN,544,DEN,PHX,87,00:44:00+00,02:09:00+00,02:11:00+00,03:43:00+00,177
308184613,WN,544,ATL,DEN,161,20:58:00+00,21:01:00+00,23:39:00+00,23:45:00+00,9
308192913,WN,545,BWI,BUF,49,11:36:00+00,11:42:00+00,12:25:00+00,12:32:00+00,13
308254353,WN,545,SAN,ABQ,86,20:01:00+00,20:07:00+00,21:27:00+00,21:40:00+00,19
308192713,WN,545,BUF,PHX,241,13:09:00+00,13:16:00+00,17:10:00+00,17:15:00+00,12
308249616,WN,545,PHX,SAN,48,18:24:00+00,18:25:00+00,19:12:00+00,19:14:00+00,3
308218740,WN,546,HOU,MSY,47,19:23:00+00,19:37:00+00,20:10:00+00,20:24:00+00,28
308249388,WN,546,PHX,ELP,58,15:46:00+00,15:41:00+00,16:44:00+00,16:43:00+00,-6
308244300,WN,546,ONT,PHX,55,14:00:00+00,13:56:00+00,14:55:00+00,14:47:00+00,-12
308209117,WN,546,ELP,HOU,98,17:13:00+00,17:15:00+00,18:51:00+00,18:51:00+00,2
308249268,WN,547,PHX,ATL,202,23:27:00+00,23:34:00+00,02:49:00+00,02:52:00+00,10
308259517,WN,547,SMF,PHX,97,21:03:00+00,20:59:00+00,22:40:00+00,22:33:00+00,-11
308244327,WN,547,ONT,SMF,58,19:23:00+00,19:23:00+00,20:21:00+00,20:19:00+00,-2
308254642,WN,548,SAT,DAL,41,19:48:00+00,19:49:00+00,20:29:00+00,20:34:00+00,6
308234402,WN,548,MAF,HOU,68,16:44:00+00,16:46:00+00,17:52:00+00,17:50:00+00,0
308202164,WN,548,DAL,ICT,51,21:19:00+00,21:33:00+00,22:10:00+00,22:30:00+00,34
308218765,WN,548,HOU,SAT,37,18:33:00+00,18:32:00+00,19:10:00+00,19:07:00+00,-4
308180424,WN,549,ABQ,LAS,67,17:56:00+00,18:36:00+00,19:03:00+00,19:43:00+00,80
308202131,WN,55,DAL,HOU,47,01:09:00+00,01:25:00+00,01:56:00+00,02:04:00+00,24
308228405,WN,550,LAS,PHX,50,13:17:00+00,13:16:00+00,14:07:00+00,14:03:00+00,-5
